trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.8548592808227632, 'e': 0.7804589491219822}",20,0,-128.9975384361128,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
172,False,"{'a': 0.8508469952439902, 'e': 0.7689370101673393}",20,0,6.535805552024687,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
173,False,"{'a': 0.8467340277515724, 'e': 0.7569094136452262}",30,7,-48.078497060538474,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 0}",1
174,False,"{'a': 0.8425184558181924, 'e': 0.7443655013705512}",20,0,-58.47534663912423,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
175,False,"{'a': 0.8381983572820567, 'e': 0.7312958471330078}",35,0,-133.25955302015174,"{0: 26, 1: 4, 2: 1, 3: 1, 4: 3}",0
176,False,"{'a': 0.8337718131394277, 'e': 0.7176924698955106}",20,0,-67.59359334525894,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
177,False,"{'a': 0.8292369105281774, 'e': 0.7035490629819057}",30,0,-138.04454389125792,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
178,False,"{'a': 0.8245917459097534, 'e': 0.688861238737357}",30,6,-57.494132819513325,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 0}",1
179,False,"{'a': 0.8198344284569239, 'e': 0.6736267877467723}",25,0,-76.16007181385393,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
180,False,"{'a': 0.8149630836546009, 'e': 0.6578459512280513}",35,9,-164.93582497520003,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 2}",1
181,False,"{'a': 0.8099758571209382, 'e': 0.6415217046732993}",30,0,-15.864446551678654,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
182,False,"{'a': 0.8048709186557463, 'e': 0.6246600501893186}",20,7,-87.08954360359182,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
183,False,"{'a': 0.7996464665230667, 'e': 0.6072703142875482}",25,0,-160.47860012988647,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
184,False,"{'a': 0.7943007319744884, 'e': 0.5893654470947157}",30,0,-75.41003540286894,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
185,False,"{'a': 0.7888319840194724, 'e': 0.570962318103856}",20,0,-102.67297821914651,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
186,False,"{'a': 0.7832385344485664, 'e': 0.5520820026704862}",25,0,-38.116502360623656,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
187,False,"{'a': 0.7775187431149306, 'e': 0.532750052495463}",20,0,-49.31991798100424,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
188,False,"{'a': 0.7716710234790698, 'e': 0.5129967423456756}",30,18,1.7621247670521554,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.7656938484210374, 'e': 0.4928572842750362}",20,12,0.0591765007499363,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.7595857563236783, 'e': 0.47237199965848453}",20,11,-28.18937309994729,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
191,False,"{'a': 0.7533453574296609, 'e': 0.45158643848752145}",20,0,-4.522233586584325,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
192,False,"{'a': 0.7469713404741454, 'e': 0.4305514346535901}",20,13,-2.0798561973333127,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.7404624795939077, 'e': 0.40932308543191664}",20,0,2.7659936699082857,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
194,False,"{'a': 0.7338176415126008, 'e': 0.3879626431492278}",20,0,-51.106209142370915,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
195,False,"{'a': 0.7270357930005688, 'e': 0.36653630715836405}",20,10,5.89190253261314,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.7201160086062299, 'e': 0.34511490484144536}",20,5,9.705952038727968,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.7130574786545097, 'e': 0.32377345151354076}",20,10,-35.50799504969664,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
198,False,"{'a': 0.7058595175061201, 'e': 0.30259058089072133}",25,0,2.6436551081286463,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
199,False,"{'a': 0.6985215720696459, 'e': 0.2816478403006102}",30,0,32.8001689241909,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
200,False,"{'a': 0.6910432305564086, 'e': 0.2610288481131026}",30,0,-21.301895489884462,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
201,False,"{'a': 0.6834242314659146, 'e': 0.24081831498921002}",25,11,12.644215896260759,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.675664472787376, 'e': 0.22110093548339896}",25,0,20.32266262443122,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
